Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.argouml.uml.reveng.ui.RESequenceDiagramDialog.actionPerformed(ActionEvent);org.argouml.kernel.ProjectManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.cognitive.critics.CrMultipleInitialStates.stillValid(ToDoItem, Designer);org.argouml.cognitive.ListSet;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.ui.cmd.GenericArgoMenuBar.initMenuView(int);org.argouml.application.api.PluggableMenu;2;5;2;0.9412;365;22;16;0;1;0.9167;2;2;7
org.argouml.util.ConfigLoader.loadTabs(Vector, String, Orientation);org.argouml.application.api.Configuration;0;1;2;1.0000;111;3;3;2;0;1.0000;89;28;5
org.argouml.uml.cognitive.checklist.Init.newCheckItem(String, String, Checklist);org.argouml.i18n.Translator;0;0;0;1.0000;285;3;0;1;0;1.0000;63;11;3
org.argouml.ui.targetmanager.TargetManager.HistoryManager.targetAdded(TargetEvent);org.argouml.ui.targetmanager.TargetEvent;0;1;0;0.9333;108;11;4;1;0;0.9000;44;5;6
org.argouml.uml.ui.ActionSaveAllGraphics.getFileChooser(Project);org.argouml.kernel.Project;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.notation.Notation.propertyChange(PropertyChangeEvent);org.argouml.application.events.ArgoEventTypes;1;0;1;1.0000;333;65;13;0;1;0.9333;0;0;15
org.argouml.cognitive.critics.OrCM.isRelevant(Critic, Designer);org.argouml.cognitive.critics.ControlMech;0;0;0;1.0000;8;1;0;1;0;0.6667;5;1;0
org.argouml.uml.reveng.FileImportSupport.getList(Import);org.argouml.uml.reveng.Import;1;1;1;0.9000;143;15;5;1;1;0.9429;179;13;20
org.argouml.kernel.ProjectManager.propertyChange(PropertyChangeEvent);org.argouml.cognitive.Designer;1;1;0;0.9231;70;10;8;0;2;1.0000;353;51;33
org.argouml.uml.diagram.ui.StereotypeUtility.getApplyStereotypeActions(Object);org.argouml.kernel.ProjectManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.ui.foundation.extension_mechanisms.ActionSetTagDefinitionOwner.actionPerformed(ActionEvent);org.argouml.uml.ui.UMLComboBox2;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.cognitive.critics.WizAddConstructor.doAction(int);org.argouml.cognitive.ui.WizStepTextField;4;1;1;0.8182;41;3;3;1;0;0.9167;61;1;3
org.argouml.uml.generator.GeneratorHelper.makeLanguage(String, String, Icon);org.argouml.uml.generator.GeneratorManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.ui.FigNodeModelElement.propertyChange(PropertyChangeEvent);org.argouml.kernel.ProjectManager;0;1;1;0.9865;729;59;29;0;0;1.0000;70;10;8
org.argouml.uml.ui.SaveGraphicsManager.setDefaultFilterBySuffix(String);org.argouml.util.SuffixFilter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.moduleloader.SettingsTabModules.ModuleTableModel.getRowCount();org.argouml.moduleloader.SettingsTabModules;1;0;0;1.0000;36;7;0;0;1;0.9333;77;10;4
org.argouml.uml.generator.ParserDisplay.parseExtensionPointFig(Object, Object, String);org.argouml.kernel.ProjectManager;1;1;0;0.9818;2004;52;8;0;0;1.0000;70;10;8
org.argouml.cognitive.critics.Critic.containsKnowledgeType(String);org.argouml.cognitive.ListSet;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.ui.explorer.ExplorerTreeModel.ExplorerUpdater.run();org.argouml.ui.explorer.ExplorerTree;1;1;3;0.5000;30;3;3;0;0;1.0000;71;2;3
org.argouml.language.java.generator.ClassCodePiece.write(BufferedReader, BufferedWriter, Stack);org.argouml.language.java.generator.ParseState;1;0;1;0.9091;34;6;2;1;0;0.9231;42;5;4
org.argouml.persistence.ToDoItemXMLHelper.getPriority();org.argouml.persistence.TodoTokenTable;2;0;1;0.8333;28;4;1;0;3;1.0000;16;1;26
org.argouml.cognitive.ui.GoListToDecisionsToItems.getDecisions();org.argouml.cognitive.DecisionModel;2;0;0;1.0000;70;10;0;0;1;0.9091;47;8;1
org.argouml.ui.explorer.ExplorerTree.ExplorerTargetListener.targetAdded(TargetEvent);org.argouml.ui.targetmanager.TargetEvent;1;0;0;1.0000;57;4;0;1;0;0.9000;44;5;6
org.argouml.uml.generator.GeneratorManager.removeGenerator(Language);org.argouml.application.events.ArgoEventPump;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.cognitive.critics.CrUnconventionalOperName.stillValid(ToDoItem, Designer);org.argouml.cognitive.ToDoItem;1;1;0;0.9091;77;8;0;0;1;0.9737;183;20;13
org.argouml.uml.ui.behavior.state_machines.PropPanelEvent.initialize();org.argouml.i18n.Translator;0;1;1;0.8182;28;3;2;1;0;1.0000;63;11;3
org.argouml.uml.ui.ActionAddTopLevelPackage.actionPerformed(ActionEvent);org.argouml.kernel.ProjectManager;6;0;0;1.0000;13;1;1;2;0;0.9375;70;10;8
org.argouml.uml.reveng.ImportClasspathDialog.OkListener.actionPerformed(ActionEvent);org.argouml.uml.reveng.ImportClassLoader;1;0;0;1.0000;20;1;0;3;0;0.9000;97;10;2
org.argouml.persistence.ToDoItemXMLHelper.getDescription();org.argouml.persistence.TodoParser;0;0;1;0.8333;28;4;1;1;0;1.0000;227;20;9
org.argouml.uml.diagram.ui.FigNodeModelElement.setOwner(Object);org.argouml.uml.UUIDHelper;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.ui.foundation.core.UMLModelElementNamespaceComboBoxModel.buildModelList();org.argouml.kernel.ProjectManager;1;0;0;1.0000;16;3;1;0;0;1.0000;70;10;8
org.argouml.model.uml.NSUMLModelEventPump.startPumpingEvents();org.argouml.model.uml.UmlModelEventPump;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.ui.cmd.ActionShowXMLDump.actionPerformed(ActionEvent);org.argouml.ui.ProjectBrowser;1;0;1;1.0000;20;1;1;1;0;1.0000;331;28;22
org.argouml.uml.cognitive.critics.WizAddConstructor.getCreateStereotype(Object);org.argouml.kernel.Project;3;0;0;1.0000;41;3;3;0;0;1.0000;587;44;23
org.argouml.kernel.Project.addTodoMember(ProjectMemberTodoList);org.argouml.kernel.MemberList;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.state.StateDiagramGraphModel.connect(Object, Object, Object);org.argouml.kernel.ProjectManager;3;2;1;0.9048;198;18;4;2;0;0.9375;70;10;8
org.argouml.uml.cognitive.critics.WizBreakCircularComp.canFinish();org.argouml.cognitive.ui.WizStepChoice;1;0;2;0.8889;111;7;9;0;1;0.9000;85;1;4
org.argouml.uml.diagram.sequence.ui.FigClassifierRole.setPreviousState(int, int);org.argouml.uml.diagram.sequence.MessageNode;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.ui.explorer.rules.GoCollaborationToDiagram.getRuleName();org.argouml.i18n.Translator;0;0;0;1.0000;20;3;0;1;0;1.0000;63;11;3
org.argouml.uml.ui.foundation.core.ActionSetFlowSource.actionPerformed(ActionEvent);org.argouml.uml.ui.UMLComboBox2;2;0;0;1.0000;27;1;1;1;0;0.9000;39;7;0
org.argouml.uml.diagram.ui.UMLDiagramHomeModelListModel.targetSet(TargetEvent);org.argouml.ui.targetmanager.TargetEvent;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.kernel.Project.removeProjectMemberDiagram(ArgoDiagram);org.argouml.uml.diagram.DiagramFactory;1;1;1;0.9706;587;44;23;0;0;1.0000;45;2;2
org.argouml.uml.diagram.ui.FigAssociationClass.calcBounds();org.argouml.uml.diagram.ui.FigEdgeAssociationClass;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.ui.explorer.rules.GoStateMachineToTop.getRuleName();org.argouml.i18n.Translator;0;0;0;1.0000;19;3;0;1;0;1.0000;63;11;3
org.argouml.model.uml.UmlFactoryImpl.deleteStateVertex(MStateVertex);org.argouml.model.uml.ActivityGraphsFactoryImpl;3;2;0;0.9231;517;24;5;0;0;1.0000;85;17;0
org.argouml.ui.explorer.rules.GoModelToDiagrams.getRuleName();org.argouml.i18n.Translator;0;0;0;1.0000;12;3;0;1;0;1.0000;63;11;3
org.argouml.ui.LookAndFeelMgr.setCurrentTheme(String);org.argouml.application.api.Configuration;1;2;1;0.9000;211;19;9;1;0;1.0000;89;28;5
